Class_70,Class_71,Class_72,Class_74,Class_250,Class_75,Class_76,Class_77,Class_sum,Class_254,Class_131,Class_2,Class_1,Class_4,Class_3,Class_6,Class_5,Class_60,Class_61,Class_240,Class_66,Class_67,Class_122,Class_243,Class_68,Class_123,Class_244,Class_69,Class_241,Class_121,Class_242,Class_247,Class_124,Class_245,Class_246,Class_249,Class_92,Class_190,Class_195,Class_10,Class_11,Class_12,Class_111,Class_232,Class_13,Class_112,Class_233,Class_14,Class_231,Class_236,Class_237,Class_238,Class_221,Class_222,Class_220,Class_225,Class_226,Class_224,Class_229,Class_227,Class_30,Class_31,Class_32,Class_33,Class_34,Class_35,Class_211,Class_36,Class_37,Class_176,Class_38,Class_214,Class_39,Class_215,Class_212,Class_213,Class_218,Class_219,Class_216,Class_217,Class_21,Class_22,Class_23,Class_24,Class_25,Class_26,Class_27,Class_28,Class_204,Class_29,Class_207,Class_208,Class_205,Class_206,Class_209,Class_50,Class_51,Class_52,Class_53,Class_152,Class_54,Class_55,Class_56,Class_57,Class_58,Class_59,Class_41,Class_42,Class_141,Class_43,Class_44,Class_45,Class_46,Class_47,Class_142,Class_48,Class_143,Class_49,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
0,0,0,0,0.4,0,0,0,2885.600000000001,0,41.29,0,11.95,0,0,0,0,0,1.95,0,0,0,173.69,0,0.07,348.91,0,0,0,136.52,0,0,93.84,0,0,0,0.61,231.94,66.67,0,0,0,124.07,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,88.52,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.07,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,13.74,0,0,1438.45,1.88,0,0,0,0,103.14,0,3.37,0,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
0.26,0,0,0,0,0,0,0,24017.35,0,98.6,0,73.01,0,0,0,0.13,0,0.13,0,0,0,529.91,0,4.42,268.64,0,0,0,737.6,0.13,0,64.15,0,0,0,0,796.53,102.1,0,0,0,852.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,4.73,698.97,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.57,0,0,0,0,0,0.58,0,0,7010.22,0.2,0,0,0,0.33,5098.07,0,7408.15,0,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
0.33,0.26,0,0,0,0,0,0,24903.469999999998,0,18.88,0,382.9,0.71,0,0,22.07,0,2.27,0,0,0,228.08,0,3.35,114.36,0,0,0,559.93,0,0,28.44,0,0,0,0,537.73,37.67,0,0,0,1033.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,10.03,3145.05,59.68,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0.45,0,0,1.1,0,0,0.06,0,0,0,0,0,0,0,0,0,234.58,0,0,0,0,0.06,0.06,0,0,10580.57,0,0,0,0,0.06,3166.23,0,4734.31,0,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
0.2,0.27,0,0,0,0,0,0,12943.389999999998,0,36.93,0,148.43,0,0,0,1.27,0,14.76,0,0,0.13,816.24,0,2.09,637.44,0,0,0,1088.42,0.27,0,115.39,0,0,0,0,452.82,93.63,0,9.9,0,411.57,0,0,0,0,0,0,0,0,0,0.8,1.0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,79.2,262.99,9.33,0,0,0,0,0,0,0,0,0,0,0.13,0,0.2,0.07,0,0,0.47,0,0,0,0,0,0,0,0,0.07,0,0,0,2.74,0,0,0,0.2,0,1.75,0,0,8496.17,0.13,0.13,0,0,0,179.55,0,77.09,0,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
0.19,0,0,0,0,0,0,0,84617.25,0,199.71,0,131.82,0.13,0,0.12,1.92,0,2.35,0,0,0,704.97,0,6.63,237.51,0,0,0,1422.7,254.31,0,92.37,0,0.62,0,0,6797.42,536.05,0,0,0,4694.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0.68,0,27.39,1960.11,185.8,0,40.58,0.79,0,0,0,0,0,0,0,93.55,0,4.09,0,0,0,95.42,95.73,0,0,0,0,0,0,0,0,0,0,0.92,3336.96,0,0,0,0,84.07,1.93,0,0,13978.29,298.56,0,0,0,0,18702.89,0,30625.42,0,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
0,0,0,0,90.64,0,0,0,21261.149999999994,0,286.23,0,104.86,0.07,0,0,0.67,0,53.63,0,0,0,1550.58,0.07,3.19,1547.33,0,0,0,1387.2,0.33,0,352.29,0,0,0,0,1615.78,431.85,0,2.21,0,883.6,0,0,0,0,0,0,0,0,0,0.53,1.46,0,0,0,0,0.33,0,0,0,0,0,0,0,0,30.63,608.06,13.24,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.13,0.53,0,0,0,0,0,0,0,0,0,0,0,78.6,0,0,0,0.2,0,1.39,0,0,8967.21,26.09,0,0,0,0.46,2341.01,0,880.62,0,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
0.14,0,0,0,1.79,0,0,0,19700.12999999999,2.42,166.38,0,432.14,1.78,0,0,784.21,0,6.39,0,0,10.38,1672.22,0.48,0.14,1054.14,0,0.07,0,3008.54,99.56,0.07,388.68,0,0,0,0,3342.32,923.71,0,0,0,524.26,0,0,0,0,0,0,0.21,0.07,0,0,3.53,0,0.21,0,0,2.12,0.21,0,0,0,0,0,0,0,24.02,536.5,243.82,0,0.42,0.07,0,0,0,0,1.18,5.67,0,2.49,0,0,18.25,0,41.17,11.47,1.09,0,0.07,0.48,0,0,0,0,3.53,0,0,0.07,158.62,6.5,0,0,1.66,0,15.91,0,1.66,5161.91,6.31,0,0,7.96,0.07,750.74,0,272.18,0,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
14.39,0,0,0,0,0,0,0,117340.75,22.56,366.15,0,6644.28,6.65,0,0.34,2610.65,9.55,112.22,0,1.51,0.07,2990.28,0.34,20.26,1470.39,0,67.41,0,6457.67,0.07,0,547.37,0,0,0,0,432.26,28.56,0,0,0,1486.28,0,1.52,0,0,0.27,0,0.34,6.74,0,0,0,0,4.87,0.27,0,2.45,0,0.2,1.9,0,0,0,0,0,951.32,6857.69,4830.53,0,0,0,0,0,0,0,0,0.61,0,8.16,0,0.14,234.83,0,112.48,3.35,35.17,0,0,0,0,4.29,0,0,0.27,0,0,1.41,672.16,1.02,0,0,0,2.23,11.59,0,7.49,72554.77,5.43,0.14,0,0,0,2295.1,0,5442.75,0,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
9.37,0,0,0,0,0,0,0.07,126294.14000000003,0,298.28,0,5722.14,5.23,0,1.19,1580.25,0,164.99,0,0.79,0.54,2552.41,25.0,179.89,1698.14,0,141.68,0,5603.03,0.33,0,762.94,0,0.13,0,0.13,4555.85,505.46,0,0,0,4401.88,0,0,0,0,0,0,0,0,0,0.07,9.44,0,0.27,0,0,3.0,1.11,2.84,0,0,0,0,0,0,2958.48,7437.52,6108.62,0,2.23,3.89,0,0,0,0,0.47,0,0,10.93,0,0.59,434.09,0.07,0,16.17,67.35,0,0.13,0,0,10.08,3.23,0,6.5,0,0,24.13,2232.52,0,0,0.41,0.14,26.44,19.71,8.67,127.92,62460.34,51.71,0.72,0,0,2.04,11657.69,0,4349.83,45.07,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
